age,income,risk_tolerance,investment_horizon,risk_level
56,135186,1,17,1
69,64674,1,7,1
46,196926,5,9,3
32,76271,4,3,3
60,103688,3,28,2
25,199590,4,13,3
38,141076,1,15,1
56,171339,1,18,1
36,31062,4,19,3
40,80448,4,1,2
28,125462,1,6,1
28,167301,3,27,2
41,77915,5,27,3
53,34632,5,23,3
57,134592,4,27,2
41,164668,5,27,3
20,139779,1,2,1
39,167240,1,24,1
19,138099,4,14,3
41,37561,4,6,3
61,112152,4,14,2
47,155036,3,4,2
55,154049,5,21,3
19,56734,4,8,3
38,167443,2,30,1
50,56069,2,3,2
29,42910,1,19,1
39,103479,5,30,3
61,111264,4,14,2
42,53275,2,27,2
66,102274,5,20,3
44,130776,1,17,1
59,78447,3,25,2
45,195601,5,8,3
33,156394,5,24,4
32,105703,3,14,2
64,106090,5,26,3
68,47260,1,6,1
61,142581,1,23,1
69,33812,3,22,2
20,189096,4,16,3
54,146148,2,25,1
68,188357,4,19,2
24,146421,5,14,4
38,31605,2,19,2
26,102303,3,3,2
56,188211,3,10,2
35,106125,2,19,1
21,174990,1,9,1
42,188518,2,28,1
31,154040,5,20,4
67,174118,1,13,1
26,185890,3,7,2
43,34324,2,14,2
19,106323,4,9,3
37,39111,4,27,3
45,199182,5,28,3
64,46389,4,23,3
24,152177,2,25,2
61,71427,2,28,2
25,189818,4,19,3
64,152883,2,15,1
52,161189,5,20,3
31,155808,1,14,1
34,142221,5,24,4
53,43234,5,6,3
67,83441,2,21,1
57,30846,1,29,1
21,40954,2,4,2
19,109239,3,8,2
23,76514,2,17,2
59,118236,2,30,1
21,127579,2,9,2
46,167541,1,1,1
35,191177,2,24,1
43,72101,1,20,1
61,94323,4,25,2
51,121922,3,14,2
27,198048,1,11,1
53,157534,4,21,2
31,97584,1,3,1
48,134537,1,9,1
65,108477,3,27,2
32,72533,5,14,4
25,31828,5,30,4
31,31917,1,9,1
40,50618,2,4,2
57,62254,4,27,3
38,135292,2,4,1
33,77362,2,28,2
62,50128,1,8,1
35,153781,1,2,1
64,95545,1,9,1
41,112180,1,29,1
43,117958,5,14,3
42,170937,1,22,1
62,163291,5,9,3
58,69809,5,24,3
46,146748,1,23,1
32,35287,3,16,3
62,195459,4,29,2
18,38512,2,30,2
42,162414,5,17,3
24,138872,4,16,3
26,180288,3,30,2
41,123070,2,12,1
18,109767,2,3,2
61,127829,5,11,3
25,187686,1,14,1
41,197330,3,18,2
28,72078,5,21,4
68,136288,3,21,2
34,113524,1,5,1
25,42219,1,16,1
52,30235,5,20,3
52,72929,1,5,1
50,157309,4,3,2
22,97444,2,12,2
59,169639,5,1,3
56,131834,3,21,2
58,114555,4,29,2
45,103698,5,9,3
24,154450,1,29,1
26,166487,1,9,1
25,197231,1,4,1
29,73925,1,3,1
51,167023,3,17,2
50,117388,4,2,2
65,38007,2,24,2
40,88596,3,1,2
41,151101,3,8,2
54,191595,2,13,1
52,118861,2,23,1
61,116740,1,15,1
57,45524,3,8,2
39,180354,5,12,3
44,185002,2,22,1
52,161149,2,12,1
18,155501,4,14,3
52,50611,5,15,3
54,178056,5,15,3
64,44060,2,9,2
31,73303,1,19,1
20,190359,4,26,3
18,69711,5,20,4
22,173026,2,29,2
43,103340,5,22,3
31,132974,4,8,3
56,179646,4,21,2
44,170256,3,19,2
26,180168,2,6,2
32,97728,4,20,3
32,195088,3,25,2
43,41246,3,29,2
59,179453,5,19,3
30,157796,5,4,3
68,197527,3,23,2
49,122263,5,7,3
56,165090,4,28,2
66,41302,1,28,1
69,97506,4,4,2
49,71157,3,22,2
21,84917,3,12,2
47,126646,4,13,2
54,113122,5,3,3
40,54519,5,22,3
56,110910,3,12,2
62,150430,2,2,1
32,101324,5,24,4
60,35408,4,2,3
46,89379,5,27,3
53,55053,4,23,3
30,170518,3,9,2
49,161994,5,1,3
24,128723,4,8,3
68,81356,3,23,2
39,40789,2,6,2
45,127720,4,6,2
19,96656,2,22,2
59,74028,2,25,2
62,94484,1,18,1
23,62154,5,17,4
45,32336,4,29,3
45,133677,2,12,1
61,97779,1,6,1
61,49029,3,26,2
37,89201,4,27,2
47,62265,2,8,2
28,132916,5,19,4
45,76197,1,28,1
42,155733,2,10,1
56,184782,5,1,3
50,190558,2,25,1
18,101907,4,29,3
44,158876,4,13,2
69,94435,4,17,2
30,70631,1,3,1
58,159038,4,8,2
20,50103,5,14,4
56,94772,2,3,1
23,156108,3,16,2
25,44382,5,13,4
44,114291,5,20,3
26,131195,4,24,3
54,164828,1,17,1
50,50609,2,13,2
68,177550,1,29,1
59,105683,2,6,1
61,154714,2,17,1
41,160330,1,14,1
32,101315,5,17,4
49,107834,2,30,1
49,156205,1,8,1
41,44153,2,11,2
58,106325,3,20,2
69,174071,5,28,3
66,85318,4,1,2
66,161886,2,26,1
69,145033,3,7,2
29,106077,4,21,3
56,120474,4,21,2
19,163515,2,17,2
20,103319,1,30,1
66,155885,2,10,1
54,139777,3,11,2
66,47368,4,22,3
34,176400,2,30,2
66,121751,1,9,1
19,57306,2,9,2
19,67219,5,24,4
45,90279,1,5,1
40,83028,3,17,2
54,134263,4,9,2
49,30126,2,17,2
50,82329,1,24,1
18,57632,5,21,4
36,139945,1,19,1
19,85176,5,27,4
61,164869,3,7,2
43,174790,4,23,2
49,64560,3,9,2
23,106589,2,7,2
49,52116,1,13,1
21,197316,5,11,4
28,162717,5,14,4
34,154085,1,19,1
55,147718,1,11,1
41,49256,2,13,2
22,130158,3,14,2
69,198502,5,13,3
51,149719,2,1,1
23,98244,3,8,2
39,172766,2,12,1
28,86264,5,19,4
65,87545,1,12,1
33,69224,1,8,1
50,127945,3,8,2
26,43224,4,29,3
23,70738,3,21,3
33,186222,4,13,3
46,93731,2,12,1
20,169649,2,29,2
37,38070,5,16,3
53,156161,4,1,2
36,38666,5,13,3
43,87761,1,26,1
20,66368,4,7,3
36,167855,3,28,2
37,71914,1,26,1
49,157738,1,5,1
24,97526,3,8,2
69,49956,1,25,1
58,76240,4,27,3
50,151008,5,14,3
57,198220,1,23,1
56,124270,4,30,2
35,34757,2,13,2
57,49097,4,15,3
18,171467,5,23,4
28,177313,4,17,3
45,133892,3,15,2
42,188768,5,20,3
67,100480,2,18,1
40,76163,3,18,2
48,49816,4,2,3
47,82853,5,4,3
